Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2020-04-26,7547.0,7709.5,7520.1,7623.7,87.08466555,663469.665939536,7618.673870414104
2020-04-25,7499.9,7695.3,7447.2,7535.02,92.59613196,702011.23871552,7581.431576631924
2020-04-24,7484.75,7586.2,7432.9,7512.86,57.03051592,427793.0133715128,7501.124730689845
2020-04-23,7134.9,7696.3,7032.3,7455.8,284.45558704,2123772.0788187454,7466.093743907039
2020-04-22,6841.0,7159.7,6833.33,7123.0,83.680137,591696.6409615183,7070.932985703866
2020-04-21,6820.4,6939.06,6789.38,6854.34,109.49581062,750380.0146177708,6853.047713596363
2020-04-20,7131.54,7220.2,6758.8,6835.29,159.93143218,1109204.1021873339,6935.497838467078
2020-04-19,7253.0,7253.0,7067.6,7130.7,36.28100651,259459.3506007681,7151.382377698214
2020-04-18,7047.3,7278.2,7047.3,7247.2,71.00802492,510146.8963259631,7184.355527431042
2020-04-17,7111.5,7147.06,7021.2,7045.47,91.13141441,644289.6205497126,7069.895981763823
2020-04-16,6611.0,7184.5,6490.06,7104.3,365.65757931,2534099.6717808503,6930.253371371986
2020-04-15,6866.6,6931.96,6612.5,6634.55,74.37701435,500669.0584671001,6731.502505748269
2020-04-14,6859.5,6983.1,6789.0,6884.5,148.1390826,1018328.7927682715,6874.139996653862
2020-04-13,6900.0,6907.4,6594.1,6860.41,315.41005227,2134281.112238605,6766.687037645843
2020-04-12,6900.0,7192.0,6796.02,6919.5,135.9185646,957896.9205809045,7047.579728346432
2020-04-11,6880.1,6937.1,6779.6,6876.75,75.80907822,519861.3979432369,6857.508495678904
2020-04-10,7275.8,7292.9,6761.2,6880.1,204.95737269,1412397.78408981,6891.178226733398
2020-04-09,7342.3,7368.13,7122.8,7290.1,87.74648795,638191.1140878877,7273.124303864377
2020-04-08,7195.2,7403.9,7162.1,7368.3,215.0273243,1571188.5979318656,7306.925308430976
2020-04-07,7319.4,7448.76,7086.4,7195.0,189.3699924,1378721.9798915768,7280.572610360289
2020-04-06,6774.5,7341.0,6765.73,7318.4,230.27130782,1627322.611069161,7066.979496816941
2020-04-05,6863.2,6889.6,6685.2,6774.5,128.73082405,872972.5723753996,6781.3795088916
