code,name,description,refreshed_at,from_date,to_date
1COINUSD,Bitcoin Markets (1coinUSD),Daily Bitcoin exchange rate (BTC vs. USD) on 1Coin. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2014-03-09,2015-04-04
ABUCOINSEUR,Bitcoin Markets (abucoinsEUR),This dataset has no description.,2018-06-28 23:17:51,2017-10-13,2018-05-30
ABUCOINSPLN,Bitcoin Markets (abucoinsPLN),This dataset has no description.,2018-06-28 23:17:51,2017-10-13,2018-05-30
ABUCOINSUSD,Bitcoin Markets (abucoinsUSD),This dataset has no description.,2018-06-27 23:08:26,2017-10-13,2018-05-29
ALLCOINUSD,Bitcoin Markets (allcoinUSD),This dataset has no description.,2018-01-07 23:04:54,2017-06-30,2017-12-09
ANXHKAUD,Bitcoin Markets (anxhkAUD),Daily Bitcoin exchange rate (BTC vs. AUD) on Anxhk. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-04-20 23:02:17,2014-01-22,2015-10-10
ANXHKCAD,Bitcoin Markets (anxhkCAD),Daily Bitcoin exchange rate (BTC vs. CAD) on Anxhk. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-04-20 23:02:17,2014-04-10,2015-10-10
ANXHKCHF,Bitcoin Markets (anxhkCHF),Daily Bitcoin exchange rate (BTC vs. CHF) on Anxhk. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2014-03-06,2015-02-16
ANXHKCNY,Bitcoin Markets (anxhkCNY),Daily Bitcoin exchange rate (BTC vs. CNY) on Anxhk. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-04-20 23:02:18,2013-10-20,2015-10-10
ANXHKEUR,Bitcoin Markets (anxhkEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Anxhk. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-04-20 23:02:17,2014-02-13,2015-10-10
ANXHKGBP,Bitcoin Markets (anxhkGBP),Daily Bitcoin exchange rate (BTC vs. GBP) on Anxhk. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-04-20 23:02:17,2014-01-05,2015-10-10
ANXHKHKD,Bitcoin Markets (anxhkHKD),Daily Bitcoin exchange rate (BTC vs. HKD) on Anxhk. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-04-20 23:02:18,2013-08-11,2015-10-10
ANXHKJPY,Bitcoin Markets (anxhkJPY),Daily Bitcoin exchange rate (BTC vs. JPY) on Anxhk. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-04-20 23:02:17,2014-03-08,2015-10-10
ANXHKNZD,Bitcoin Markets (anxhkNZD),Daily Bitcoin exchange rate (BTC vs. NZD) on Anxhk. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-04-20 23:02:18,2014-02-27,2015-10-13
ANXHKSGD,Bitcoin Markets (anxhkSGD),Daily Bitcoin exchange rate (BTC vs. SGD) on Anxhk. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-04-20 23:02:17,2014-01-11,2015-10-10
ANXHKUSD,Bitcoin Markets (anxhkUSD),Daily Bitcoin exchange rate (BTC vs. USD) on Anxhk. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2017-04-20 23:02:18,2013-08-20,2015-10-10
AQOINEUR,Bitcoin Markets (aqoinEUR),Daily Bitcoin exchange rate (BTC vs. EUR) on Aqoin. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2011-09-02,2011-11-17
B2CUSD,Bitcoin Markets (b2cUSD),Daily Bitcoin exchange rate (BTC vs. USD) on B2C. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-04-01,2012-01-21
B7EUR,Bitcoin Markets (b7EUR),Daily Bitcoin exchange rate (BTC vs. EUR) on B7. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-06-14,2011-10-05
B7USD,Bitcoin Markets (b7USD),Daily Bitcoin exchange rate (BTC vs. USD) on B7. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-06-14,2011-10-05
BBMBRL,Bitcoin Markets (bbmBRL),Daily Bitcoin exchange rate (BTC vs. BRL) on Bbm. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-09-10,2011-11-10
BCGBP,Bitcoin Markets (bcGBP),Daily Bitcoin exchange rate (BTC vs. GBP) on Bc. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:26,2012-10-24,2013-04-24
BCMBMGAU,Bitcoin Markets (bcmBMGAU),Daily Bitcoin exchange rate (BTC vs. GAU) on Bcmbm. Updated daily at 6:00pm EST. Data is sourced from http://www.bitcoincharts.com . For other Bitcoin data and charts see our Bitcoin markets page (http://www.quandl.com/markets/bitcoin-data).,2016-01-14 23:01:25,2011-08-01,2011-08-01
